PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
17327;"Cine Conde Duque Alberto Aguilera";"Consulte la cartelera en la  página web de la guía del ocio ";"Confirmar telefónicamente.";"";" Metro: San Bernardo (líneas 2, 4)  Bus: 3, 21, 147, 149 ";" Día del espectador:  miércoles.";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=72dc3d232e91f010VgnVCM1000000b205a0aRCRD";"ALBERTO AGUILERA";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28015";"ARAPILES";"CHAMBERI";"440175";"4475912";"40.42981664825533";"-3.706593653591267";"914 477 184";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
124770;"Cine Conde Duque Goya";"Consulte la cartelera en la  página web de la guía del ocio ";"Confirmar telefónicamente.";"";" Metro: Goya (líneas 2,4 ), Velázquez (línea 4), Príncipe de Vergara (líneas 2, 9)  Bus: 15, 21, 26, 29, 52, 53, 61, 146, 152 ";"  Día del espectador : miércoles.   Venta anticipada  de entradas en servicio  entradas.com  ";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e5ec654d9d91f010VgnVCM2000000c205a0aRCRD";"GOYA";"CALLE";"V";"67";"";"";"";"";"MADRID";"MADRID";"28001";"GOYA";"SALAMANCA";"442460";"4475373";"40.425122566570735";"-3.6796079845954734";"915 783 152       
";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
24407;"Cine Conde Duque Santa Engracia 3D";"";"";"";"";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c2f255004e91f010VgnVCM2000000c205a0aRCRD";"SANTA ENGRACIA";"CALLE";"V";"132";"";"";"";"";"MADRID";"MADRID";"28003";"RIOS ROSAS";"CHAMBERI";"440596";"4477305";"40.442395567766845";"-3.701772948792809";"914 411 461";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
129467;"Cine Dreams Palacio de Hielo";"Consulte la cartelera en la  página web de la guía del ocio ";"";"";" Metro: Canillas (línea 4)  Bus: 73, 112, 120, 122, 153 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=442d654d9d91f010VgnVCM2000000c205a0aRCRD";"SILVANO";"CALLE";"V";"77";"";"";"";"";"MADRID";"MADRID";"28043";"CANILLAS";"HORTALEZA";"446189";"4479528";"40.462803146661386";"-3.636003964017397";"";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
17314;"Cine Estudio Círculo de Bellas Artes";"";"Confirmar telefónicamente.";"";" Metro: Banco de España (línea 2), Sevilla (línea 2)  Bus: 1, 2, 5, 9, 46, 51, 52, 53, 74, 146, 150, 202 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7cfc3d232e91f010VgnVCM1000000b205a0aRCRD";"ALCALA";"CALLE";"V";"42";"";"";"";"";"MADRID";"MADRID";"28014";"CORTES";"CENTRO";"441012";"4474640";"40.418417756198565";"-3.6966084554513072";"913 892 500";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
18753;"Cine Imax Madrid";"";" Consultar telefónicamente. ";"";" Metro: Méndez Álvaro (línea 6)  Renfe: Méndez Álvaro  Bus: 8, 102, 148, 152, 156 ";"  Día del espectador:  viernes ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9be8059cb751c010VgnVCM2000000c205a0aRCRD";"MENESES";"CALLE";"V";"0";"";"";"";"";"MADRID";"MADRID";"28045";"LEGAZPI";"ARGANZUELA";"442261";"4471709";"40.39210151448589";"-3.681620654746187";"914 674 800";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
17366;"Cine La Vaguada";"Consulte la cartelera en la  página web de la guía del ocio ";" Consultar telefónicamente. ";"";" Metro: Barrio del Pilar (línea 9)  Bus: 49, 83, 128, 132, 134, 137  ";"  Día del espectador:  miércoles ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8e8355004e91f010VgnVCM2000000c205a0aRCRD";"SANTIAGO DE COMPOSTELA";"CALLE";"S/N";"0";"";"";"";"C. COMERCIAL MADRID DOS LA VAGUADA";"MADRID";"MADRID";"28034";"LA PAZ";"FUENCARRAL-EL PARDO";"440936";"4482048";"40.48514678964862";"-3.698194594272782";"917 300 622";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
17349;"Cine Palacio de la Prensa";"Consulte la cartelera en la  página web de la guía del ocio ";"Consultar teléfonicamente.";"";"  Metro:  Callao (líneas 3, 5)   Bus:  1, 2, 46, 74, 75, 146, 147, 148, 202 ";"  Día del espectador:  miércoles.   Venta anticipada  de entradas en el  servicio entradas.com  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fe3d3d232e91f010VgnVCM1000000b205a0aRCRD";"CALLAO";"PLAZA";"V";"4";"";"";"";"";"MADRID";"MADRID";"28013";"SOL";"CENTRO";"440257";"4474804";"40.41984118412432";"-3.7055226978126132";"915 219 900";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
17350;"Cine Palafox";"Consulte la cartelera en la  oágina web de la guía del ocio ";"Confirmar telefónicamente.";"";"  Metro:  Bilbao (líneas 1, 4)   Bus:  3, 21, 37, 40, 147, 149 ";"   Día del espectador:   lunes  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f15d3d232e91f010VgnVCM1000000b205a0aRCRD";"LUCHANA";"CALLE";"V";"15";"";"";"";"";"MADRID";"MADRID";"28010";"TRAFALGAR";"CHAMBERI";"440655";"4475934";"40.430058289017886";"-3.7009373284385667";"915 938 727";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
17351;"Cine Paz";"Consulte la cartelera en la  página web de la guía del ocio ";"Consultar telefónicamente.";"";" Metro: Bilbao (líneas 2, 4), Quevedo (línea 2)  Bus: 3, 16, 21, 37, 40, 61, 147, 149 ";"  Día del espectador:  miércoles.   Venta anticipada  de entradas en el  servicio entradas.com  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f46d3d232e91f010VgnVCM1000000b205a0aRCRD";"FUENCARRAL";"CALLE";"V";"125";"";"";"";"";"MADRID";"MADRID";"28010";"TRAFALGAR";"CHAMBERI";"440446";"4476028";"40.430881110367864";"-3.7034098613735513";"914 464 566";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
17355;"Cine Princesa";"Consulte la cartelera en la  página web de la guía del ocio ";"Consultar telefónicamente.";"";" Metro: Plaza de España (líneas 3, 10), Ventura Rodríguez (línea 3)  Bus: 1, 2, 44, 74, 133, 138, 202,  C1 ,  C2  ";"  Día del espectador:  lunes   Venta anticipada  de entradas en el  servicio entradas.com  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fa8d3d232e91f010VgnVCM1000000b205a0aRCRD";"PRINCESA";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28008";"ARGUELLES";"MONCLOA-ARAVACA";"439638";"4475352";"40.424733058522776";"-3.7128707959595735";"915 422 702  
";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
17358;"Cine Renoir Plaza de España";"Consulte la cartelera en la página web de la guía del ocio";"Consultar telefónicamente.";"";" Metro: Plaza España (líneas 3, 10)  Bus: 1, 2, 44, 46, 74, 75, 133, 138, 148, 202,  C1 ,  C2  ";"  Día del espectador : lunes   Venta anticipada  de entradas en el  servicio entradas.com  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b1bd3d232e91f010VgnVCM1000000b205a0aRCRD";"MARTIN DE LOS HEROS";"CALLE";"V";"12";"";"";"";"";"MADRID";"MADRID";"28008";"ARGUELLES";"MONCLOA-ARAVACA";"439591";"4475313";"40.424378311873575";"-3.7134211001030777";"915 422 702 
";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
58576;"Cine Renoir Retiro";"Consulte la cartelera en la  página web de la guía del ocio ";"Consultar telefónicamente.";"";"  Metro:  Ibiza (líneas 2, 9)   Bus:  2, 15, 26, 61, 63, 202, 215, C1 ";"  Venta anticipada  de entradas en el  servicio entradas.com  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b7dd3d232e91f010VgnVCM1000000b205a0aRCRD";"NARVAEZ";"CALLE";"V";"42";"";"";"";"";"MADRID";"MADRID";"28009";"IBIZA";"RETIRO";"442731";"4474811";"40.42007851600518";"-3.6763627973897464";"915 422 702 
";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
5787803;"Cine Sala Berlanga";"";"";"";" Metro: Moncloa (líneas 3, 6) , Islas Filipinas (línea 7)  Bus: 1, 2, 12, 16, 21, 44, 61, 82, 83, 132, 133, 202, C1 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=08025b888b3aa210VgnVCM1000000b205a0aRCRD";"ANDRES MELLADO";"CALLE";"V";"53";"";"";"";"";"MADRID";"MADRID";"28015";"GAZTAMBIDE";"CHAMBERI";"439516";"4476595";"40.43592165987274";"-3.7144273694875025";"";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
91099;"Cine Verdi HD";"Consulte la cartelera en la  página web de la guía del ocio ";"Consultar telefónicamente.";"";" Metro: Canal (líneas 2, 7), Quevedo (línea 2)  Bus: 3, 12, 16, 37, 61, 149 ";"  Día del espectador:  lunes ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b63e3d232e91f010VgnVCM1000000b205a0aRCRD";"BRAVO MURILLO";"CALLE";"V";"28";"";"";"";"";"MADRID";"MADRID";"28015";"TRAFALGAR";"CHAMBERI";"440393";"4476667";"40.43662476624267";"-3.70408281907753";"914 473 930 
";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
30455;"Cine Victoria";"Consulte la cartelera en la  página web de la guía del ocio ";"Consultar telefónicamente.";"";" Metro: Diego de León (líneas 4, 5, 6)  Bus: 12, 26, 43, 48, 56, 61, 72, 73,    C1   ,   C2  ";" Día del espectador:  miércoles";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=394e3d232e91f010VgnVCM1000000b205a0aRCRD";"FRANCISCO SILVELA";"CALLE";"V";"48";"";"";"";"";"MADRID";"MADRID";"28028";"GUINDALERA";"SALAMANCA";"442966";"4476373";"40.43416598323624";"-3.6737332830250886";"917 251 266";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
5548871;"Cines Yelmo Islazul";"";"";"";" Bus: 35, 108, 118, 155 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2bc4a4cc80056210VgnVCM2000000c205a0aRCRD";"CALDERILLA";"CALLE";"V";"1";"";"";"";"CENTRO COMERCIAL ISLAZUL";"MADRID";"MADRID";"28054";"BUENAVISTA";"CARABANCHEL";"437457";"4468762";"40.3652060762759";"-3.737931015705989";"";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
4549928;"Cinesa Manoteras";"Consulte la cartelera en la  página web de la guía del ocio ";"";"";" Renfe: Fuente de la Mora ( C7 ,  C10 )  Bus: 150, 174 ";" Día del espectador:  miércoles";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1eb86f91462a1110VgnVCM1000000b205a0aRCRD";"MANOTERAS";"AVENIDA";"V";"40";"";"";"";"";"MADRID";"MADRID";"28050";"VALDEFUENTES";"HORTALEZA";"443715";"4482126";"40.48604287095553";"-3.6654142365599194";"902 100 842 
";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
6963310;"Cineteca del Matadero Madrid";" Sala dedicada casi en exclusiva al cine de no ficción ";" Taquilla, media hora antes del comienzo de la sesión ";"";" Metro :  Legazpi (líneas 6, 3)  Bus: 6 , 8 , 18 , 19 , 45 , 78 , 148 ";"  Venta anticipada  en la  página web de entradas.com  ";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2dbd1fe44c5ee310VgnVCM2000000c205a0aRCRD";"CHOPERA";"PASEO";"V";"14";"";"";"";"";"MADRID";"MADRID";"28045";"CHOPERA";"ARGANZUELA";"440934";"4471754";"40.39241367848808";"-3.697259467865366";"915 170 903                     
";"";"info@cinetecamadrid.com";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
96378;"Filmoteca Española";" La Filmoteca Española es el archivo histórico que custodia el patrimonio fílmico español. Tiene como misión recuperar, investigar y conservar el patrimonio cinematográfico y promover su conocimiento. Es una Subdirección General del Instituto de la Cinematografía y de las Artes Audiovisuales y desde 1956 pertenece a la Federación Internacional de Archivos Fílmicos    Ubicada en el Palacio de Perales    Edificio de carácter monumental  Construido a principios del siglo XVIII por el arquitecto Pedro de Ribera, representante del barroco castizo madrileño. Rehabilitado por el arquitecto Javier Feduchi Benlliure, finalizando las obras en 2001 ";" Biblioteca: de lunes a viernes de 9:30 a 14 horas ";"  Fondos fílmicos  Catalogación y documentación (Biblioteca y archivo gráfico)  Consulta y visionado de películas por razones de investigación, estudio o docencia  Sala de exposiciones  ";" Metro: Tirso de Molina (Línea 1)  Bus: 6 , 26 , 32 , 65 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1f2f3d232e91f010VgnVCM1000000b205a0aRCRD";"MAGDALENA";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28012";"EMBAJADORES";"CENTRO";"440534";"4473966";"40.41231195969282";"-3.7021792836496275";"914 672 600";"914 672 608";"filmoteca@mcu.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
2044;"Filmoteca Española. Cine Doré";" El Cine Doré es el local de la Filmoteca Española donde ésta exhibe diariamente sus programaciones cinematográficas. El edificio cuenta con tres salas de proyecciones: sala 1 (reconstrucción de la primitiva del Salón Doré), sala 2 (de diseño más moderno) y sala 3 o Luis García Berlanga (sala al aire libre, funciona únicamente desde julio a mediados de septiembre, cuenta con un servicio de bar). Las instalaciones se completan con una cafetería y una librería especializada en temas de cine ";"  Taquilla : desde las 16:15 horas hasta 15 minutos después del comienzo de la última sesión. Se despachan como máximo tres entradas por persona y sesión. No se reservan entradas ni se pueden realizar cambios una vez comenzada la sesión.  Venta anticipada: desde las 21 horas hasta el cierre de la taquilla para las sesiones del día siguiente y sin sobrepasar un tercio del aforo de cada una de las salas   Cafetería : de 17 a 00:45 horas   Librería : de 17:30 a 22 horas. Lunes cerrado ";"  Dos salas para proyecciones  Cafetería  Librería     Exhibición :   Las películas extranjeras se exhiben siempre en versión original. Cuando las copias de las películas carecen de subtítulos, éstos se realizan de manera electrónica   Proyecciones :  Tienen lugar de martes a domingo (excepto festivos). Su número suele ser de cuatro sesiones diarias  La primera sesión comienza a las 17:30 horas en invierno y a las 18 horas en verano  La última sesión no tiene establecida hora fija de inicio. Suele comenzar alrededor de las 22 horas ";" Metro: Antón Martín (Línea 1)  Bus: 6, 26, 32 ";"En 1912 se inauguró el salón Doré. Aunque no fue hasta 1923 cuando se construyó el Cine Doré. De estilo modernista, sus planos fueron firmados por el arquitecto  Críspulo Moro Cabeza , bajo promoción del industrial  Arturo Carballo Alemany . En 1982, la Corporación Municipal adquiere el Cine como edificio de interés arquitectónico y, tras la firma de cesión al Ministerio de Cultura, se decide destinarlo a local de proyecciones para la  Filmoteca Española ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1c1f3d232e91f010VgnVCM1000000b205a0aRCRD";"SANTA ISABEL";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28012";"EMBAJADORES";"CENTRO";"440784";"4473908";"40.411807323876616";"-3.69922751452095";"913 692 118 (gerencia) / 913 691 125 (taquillas) / 913 694 923 (cafetería) / 913 694 673 (librería)";"913 691 250";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
43002;"Pequeño Cine Estudio";"";"";"";" Metro: Quevedo ( L2 ), San Bernardo ( L2 ,  L4 )  Bus: 16, 37, 61, 149 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f77d3d232e91f010VgnVCM1000000b205a0aRCRD";"MAGALLANES";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28015";"ARAPILES";"CHAMBERI";"440276";"4476202";"40.4324363685589";"-3.705430315372582";"914 472 920";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
