INCIDENTID,CATEGORY,DESCRIPTION,DATE,DISTRICT,STATE,ADDRESS,LATWGS84,LONWGS84
140776777,OTHER OFFENSES,AID OR HARBOR FELON,15-09-2014,INGLESIDE,"ARREST, BOOKED",CAMELLIA AV / SILVER AV,37.7292705200712,-122.432325871031
140736828,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",01-09-2014,RICHMOND,NONE,700.0 Block of 20TH AV,37.7729129239549,-122.478886960866
146179662,LARCENY THEFT,PETTY THEFT OF PROPERTY,03-09-2014,SOUTHERN,NONE,1200.0 Block of MISSION ST,37.7769073983537,-122.413797599096
140736890,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,01-09-2014,NORTHERN,NONE,STEINER ST / POST ST,37.7849443170266,-122.434733246333
140816555,LARCENY THEFT,PETTY THEFT FROM LOCKED AUTO,27-09-2014,NORTHERN,NONE,1200.0 Block of GOLDEN GATE AV,37.7797460960487,-122.430253680714
140721512,LARCENY THEFT,GRAND THEFT PICKPOCKET,27-08-2014,SOUTHERN,NONE,200.0 Block of 4TH ST,37.7832239066874,-122.402727263509
146185738,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,11-09-2014,INGLESIDE,NONE,2400.0 Block of SAN JOSE AV,37.7188120419459,-122.448026032545
140693303,LARCENY THEFT,GRAND THEFT SHOPLIFTING,18-08-2014,SOUTHERN,"ARREST, BOOKED",800.0 Block of MARKET ST,37.7850491022993,-122.406659517434
140815961,DRUG NARCOTIC,POSSESSION OF MARIJUANA,27-09-2014,TENDERLOIN,"ARREST, BOOKED",0.0 Block of JONES ST,37.7811401588215,-122.411986160097
140751406,MISSING PERSON,FOUND PERSON,06-09-2014,RICHMOND,LOCATED,6TH AV / CLEMENT ST,37.7829397705234,-122.464425476951
146197523,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",25-09-2014,CENTRAL,NONE,900.0 Block of POST ST,37.7871652980943,-122.417535863271
140712276,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",24-08-2014,SOUTHERN,"ARREST, BOOKED",MARKET ST / 3RD ST,37.7876430502097,-122.403434086745
140745625,NON CRIMINAL,"AIDED CASE, MENTAL DISTURBED",04-09-2014,TENDERLOIN,PSYCHOPATHIC CASE,600.0 Block of ELLIS ST,37.784252813662,-122.417323708004
140684095,DRUG NARCOTIC,POSSESSION OF MARIJUANA,15-08-2014,MISSION,"ARREST, CITED",FOLSOM ST / 14TH ST,37.768536012388,-122.41561633832
140751503,MISSING PERSON,MISSING JUVENILE,06-09-2014,MISSION,NONE,900.0 Block of POTRERO AV,37.7568815847358,-122.406662657485
146198101,LARCENY THEFT,GRAND THEFT OF PROPERTY,27-09-2014,RICHMOND,NONE,500.0 Block of JOHNFKENNEDY DR,37.7724965522563,-122.465838183623
140789225,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,19-09-2014,PARK,NONE,500.0 Block of BUENAVISTAWEST AV,37.7664421141624,-122.443164737922
140793022,LARCENY THEFT,PETTY THEFT OF PROPERTY,20-09-2014,INGLESIDE,NONE,700.0 Block of NAPLES ST,37.7176046320478,-122.433821303369
140793088,NON CRIMINAL,LOST PROPERTY,20-09-2014,CENTRAL,NONE,STOCKTON ST / SUTTER ST,37.7894347630337,-122.406958660602
140798260,ROBBERY,"ROBBERY, BODILY FORCE",22-09-2014,TENDERLOIN,"ARREST, BOOKED",OFARRELL ST / ELWOOD ST,37.7862456768545,-122.409330755034
146162548,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,09-08-2014,CENTRAL,NONE,KEARNY ST / COLUMBUS AV,37.7969085529165,-122.405291680009
140764283,MISSING PERSON,MISSING ADULT,10-09-2014,TARAVAL,NONE,300.0 Block of RALSTON ST,37.7183732668793,-122.468901475154
140696852,NON CRIMINAL,AIDED CASE,19-08-2014,INGLESIDE,NONE,1600.0 Block of CAYUGA AV,37.7155286201025,-122.447585692114
140691062,LARCENY THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,17-08-2014,TENDERLOIN,NONE,400.0 Block of TURK ST,37.7824314548693,-122.416638718715
140688564,LARCENY THEFT,PETTY THEFT FROM LOCKED AUTO,17-08-2014,RICHMOND,NONE,600.0 Block of 14TH AV,37.7768128868724,-122.472613618979
146174189,LARCENY THEFT,GRAND THEFT OF PROPERTY,27-08-2014,SOUTHERN,NONE,1000.0 Block of HOWARD ST,37.7786813629049,-122.408560856227
140730080,NON CRIMINAL,LOST PROPERTY,30-08-2014,CENTRAL,NONE,UNION ST / MASON ST,37.8000308579513,-122.412475493262
140728916,OTHER OFFENSES,RESISTING ARREST,30-08-2014,RICHMOND,NONE,200.0 Block of 4TH AV,37.7847497141478,-122.462267735146
140665487,ASSAULT,BATTERY,10-08-2014,MISSION,"ARREST, BOOKED",3000.0 Block of 16TH ST,37.7649058705108,-122.421526276121
140665023,NON CRIMINAL,"AIDED CASE, MENTAL DISTURBED",09-08-2014,TENDERLOIN,PSYCHOPATHIC CASE,200.0 Block of JONES ST,37.7830494562119,-122.412465977545
140810046,ASSAULT,THREATS AGAINST LIFE,23-09-2014,MISSION,NONE,800.0 Block of CHURCH ST,37.7569015578334,-122.427794480801
140695735,MISSING PERSON,MISSING ADULT,18-08-2014,PARK,NONE,0.0 Block of SHRADER ST,37.7745110733269,-122.452868550073
140662079,MISSING PERSON,FOUND PERSON,08-08-2014,BAYVIEW,NONE,1400.0 Block of PHELPS ST,37.7364325374899,-122.394419029727
140770484,EXTORTION,EXTORTION,12-09-2014,CENTRAL,"ARREST, BOOKED",1600.0 Block of POWELL ST,37.7998521425689,-122.410899518121
146171339,LARCENY THEFT,PETTY THEFT OF PROPERTY,23-08-2014,PARK,NONE,1400.0 Block of WALLER ST,37.7689239994274,-122.44818664287
146156999,LARCENY THEFT,GRAND THEFT FROM UNLOCKED AUTO,02-08-2014,SOUTHERN,NONE,10TH ST / BRYANT ST,37.7703482035751,-122.409738771906
140747847,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,01-09-2014,INGLESIDE,NONE,400.0 Block of STAPLES AV,37.7291707174796,-122.451472375567
140825772,LARCENY THEFT,PETTY THEFT FROM LOCKED AUTO,30-09-2014,TENDERLOIN,NONE,100.0 Block of OFARRELL ST,37.7865337577236,-122.406775763713
140694555,DRUG NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,19-08-2014,TENDERLOIN,"ARREST, CITED",TURK ST / TAYLOR ST,37.7832145190309,-122.410768766343
140696595,OTHER OFFENSES,FAILURE TO HEED RED LIGHT AND SIREN,19-08-2014,RICHMOND,"ARREST, CITED",GEARY BL / COMMONWEALTH AV,37.7814313271326,-122.455525391723
140638729,ASSAULT,THREATENING PHONE CALL(S),01-08-2014,TARAVAL,NONE,400.0 Block of SERRANO DR,37.7190243811729,-122.481515092646
140827063,NON CRIMINAL,FOUND PROPERTY,30-09-2014,TARAVAL,NONE,200.0 Block of WINSTON DR,37.7269346746393,-122.476681699323
140733103,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",31-08-2014,SOUTHERN,"ARREST, BOOKED",0.0 Block of UNITEDNATIONS PZ,37.7798171172036,-122.414965642852
140692543,WARRANTS,WARRANT ARREST,18-08-2014,MISSION,"ARREST, BOOKED",4200.0 Block of 19TH ST,37.7591651382309,-122.436336387037
140670442,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,11-08-2014,CENTRAL,"ARREST, BOOKED",1300.0 Block of BATTERY ST,37.8032574115348,-122.401946524153
140766659,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",11-09-2014,SOUTHERN,"ARREST, CITED",MARKET ST / 10TH ST,37.7765400380625,-122.417504703145
140809754,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,25-09-2014,NORTHERN,NONE,POLK ST / FERN ST,37.7882225424559,-122.420211964949
140719880,DISORDERLY CONDUCT,"DISTURBING THE PEACE, COMMOTION",27-08-2014,BAYVIEW,NONE,2000.0 Block of 26TH ST,37.7508962460333,-122.399654244494
140670793,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",11-08-2014,SOUTHERN,"ARREST, CITED",MARKET ST / 10TH ST,37.7765400380625,-122.417504703145
140781760,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,16-09-2014,NORTHERN,NONE,1500.0 Block of FILLMORE ST,37.7833120131468,-122.432668405006
140753781,ASSAULT,BATTERY,06-09-2014,NORTHERN,NONE,1200.0 Block of POLK ST,37.787994971038,-122.42012445553
140819242,VEHICLE THEFT,STOLEN AUTOMOBILE,27-09-2014,SOUTHERN,"ARREST, BOOKED",500.0 Block of STEVENSON ST,37.7812770784234,-122.410504946822
140659236,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",07-08-2014,SOUTHERN,NONE,GOLDEN GATE AV / MARKET ST,37.7822305870333,-122.41029351969
146156488,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,08-08-2014,PARK,NONE,SCOTT ST / EDDY ST,37.7808016285351,-122.437262577518
146152765,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,02-08-2014,NORTHERN,NONE,GEARY BL / WEBSTER ST,37.7845681170633,-122.431206932079
140674949,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,13-08-2014,TARAVAL,NONE,0.0 Block of MORNINGSIDE DR,37.7321403031907,-122.492434002188
140693541,NON CRIMINAL,LOCATED PROPERTY,18-08-2014,BAYVIEW,NONE,1000.0 Block of LECONTE AV,37.7182381535616,-122.396662575333
140659123,OTHER OFFENSES,RESISTING ARREST,08-08-2014,SOUTHERN,PSYCHOPATHIC CASE,1100.0 Block of MARKET ST,37.7799730161178,-122.413098769262
140723160,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",28-08-2014,TENDERLOIN,"ARREST, CITED",GOLDEN GATE AV / HYDE ST,37.7816542806372,-122.415508242782
140817490,NON CRIMINAL,"AIDED CASE, MENTAL DISTURBED",28-09-2014,BAYVIEW,PSYCHOPATHIC CASE,23RD ST / KANSAS ST,37.7545129538158,-122.402561060246
140763859,OTHER OFFENSES,MISCELLANEOUS STATE FELONY,10-09-2014,TENDERLOIN,"ARREST, BOOKED",FULTON ST / HYDE ST,37.7797870676791,-122.415127837608
146187740,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,13-09-2014,SOUTHERN,NONE,800.0 Block of BRYANT ST,37.7752316978411,-122.403742962696
140679585,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",08-08-2014,NORTHERN,NONE,1200.0 Block of SUTTER ST,37.7876017432634,-122.421613904762
146190141,LARCENY THEFT,GRAND THEFT OF PROPERTY,10-09-2014,SOUTHERN,NONE,500.0 Block of BRANNAN ST,37.777858983615,-122.397065737738
140684625,NON CRIMINAL,LOST PROPERTY,14-08-2014,RICHMOND,NONE,BALBOA ST / 37TH AV,37.7757119834315,-122.497319168191
140699339,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",20-08-2014,TARAVAL,NONE,2600.0 Block of 15TH AV,37.7387130804012,-122.470899489868
140816511,MISSING PERSON,MISSING JUVENILE,27-09-2014,SOUTHERN,LOCATED,200.0 Block of INTERSTATE80 HY,37.8170463264521,-122.370740926948
140730814,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,30-08-2014,NORTHERN,"ARREST, CITED",2200.0 Block of BROADWAY ST,37.7945068371513,-122.433885107473
140688257,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,17-08-2014,NORTHERN,"ARREST, BOOKED",MARKET ST / 9TH ST,37.7774936777647,-122.416293820935
140755674,DRUG NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,08-09-2014,MISSION,"ARREST, CITED",900.0 Block of POTRERO AV,37.7568815847358,-122.406662657485
140797557,MISSING PERSON,FOUND PERSON,21-09-2014,INGLESIDE,NONE,100.0 Block of FOOTE AV,37.7139155292984,-122.446158564548
149011087,OTHER OFFENSES,TRAFFIC VIOLATION,14-08-2014,TARAVAL,NONE,2700.0 Block of OCEAN AV,37.7325675084603,-122.474929060456
140717066,FRAUD,"CREDIT CARD, THEFT BY USE OF",25-08-2014,CENTRAL,NONE,1700.0 Block of THE EMBARCADERONORTH ST,37.806521957185,-122.405278939063
140744116,ASSAULT,STALKING,04-09-2014,TENDERLOIN,"ARREST, BOOKED",200.0 Block of TURK ST,37.782946019473,-122.413128927265
140743419,NON CRIMINAL,"AIDED CASE, MENTAL DISTURBED",03-09-2014,BAYVIEW,PSYCHOPATHIC CASE,0.0 Block of VESTA ST,37.7309496642204,-122.399960800282
140794315,OTHER OFFENSES,RESISTING ARREST,20-09-2014,NORTHERN,"ARREST, CITED",1000.0 Block of FRANKLIN ST,37.7839021716438,-122.422754846387
140795636,OTHER OFFENSES,RESISTING ARREST,21-09-2014,INGLESIDE,"ARREST, BOOKED",1800.0 Block of SUNNYDALE AV,37.7127729210563,-122.419659252948
140762419,WARRANTS,ENROUTE TO U.S. MARSHALL,10-09-2014,MISSION,NONE,1000.0 Block of POTRERO AV,37.7568256145719,-122.406656623063
140664702,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,08-08-2014,SOUTHERN,NONE,FOLSOM ST / 9TH ST,37.7737679567533,-122.411612378034
140763376,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",10-09-2014,RICHMOND,NONE,500.0 Block of 39TH AV,37.7785269310312,-122.499804420048
140707233,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,23-08-2014,MISSION,"ARREST, BOOKED",3500.0 Block of CESAR CHAVEZ ST,37.7480661948915,-122.420886575514
140660766,DRUG NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,08-08-2014,MISSION,JUVENILE BOOKED,2000.0 Block of MISSION ST,37.764028015224,-122.41961565927
140656696,DRUG NARCOTIC,POSSESSION OF MARIJUANA,07-08-2014,SOUTHERN,NONE,6TH ST / JESSIE ST,37.7813987341188,-122.409247675547
140764647,ROBBERY,"ROBBERY, ARMED WITH A GUN",10-09-2014,SOUTHERN,NONE,200.0 Block of INTERSTATE80 HY,37.8170463264521,-122.370740926948
140735529,FRAUD,"CREDIT CARD, THEFT BY USE OF",07-08-2014,TARAVAL,NONE,2300.0 Block of 31ST AV,37.7432512654124,-122.488556955627
140764863,LARCENY THEFT,PETTY THEFT FROM A BUILDING,10-09-2014,TENDERLOIN,NONE,300.0 Block of ELLIS ST,37.7850007113177,-122.411985603056
140743378,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,03-09-2014,TARAVAL,"ARREST, CITED",1000.0 Block of SHIELDS ST,37.7179092563185,-122.471645167343
140702540,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,21-08-2014,CENTRAL,"ARREST, CITED",POWELL ST / NORTHPOINT ST,37.8067579023403,-122.412143310586
140804118,FORGERY COUNTERFEITING,"FORGERY, NOTES",23-09-2014,TENDERLOIN,NONE,400.0 Block of EDDY ST,37.7836384230457,-122.414651183179
140757131,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",08-09-2014,BAYVIEW,"ARREST, CITED",OAKDALE AV / QUINT ST,37.7377836782741,-122.395948175202
140817020,ASSAULT,INFLICT INJURY ON COHABITEE,27-09-2014,INGLESIDE,"ARREST, BOOKED",3300.0 Block of MISSION ST,37.7437855454541,-122.421107237276
140787081,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",18-09-2014,SOUTHERN,"ARREST, CITED",800.0 Block of BRYANT ST,37.7752316978411,-122.403742962696
140807203,OTHER OFFENSES,RESISTING ARREST,24-09-2014,TENDERLOIN,"ARREST, CITED",200.0 Block of TAYLOR ST,37.7846029812443,-122.411005122149
140778717,ASSAULT,BATTERY,15-09-2014,MISSION,"ARREST, CITED",1800.0 Block of FOLSOM ST,37.7685095051348,-122.415656120604
140657412,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",07-08-2014,MISSION,"ARREST, CITED",24TH ST / SAN BRUNO AV,37.7531213318797,-122.404365956101
140684716,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,16-08-2014,BAYVIEW,NONE,1200.0 Block of CAROLINA ST,37.7533174434773,-122.399428898585
140789758,WARRANTS,WARRANT ARREST,19-09-2014,SOUTHERN,"ARREST, BOOKED",700.0 Block of MISSION ST,37.7846237669087,-122.403890223654
140661275,LARCENY THEFT,GRAND THEFT FROM PERSON,08-08-2014,SOUTHERN,NONE,900.0 Block of MARKET ST,37.7839574642528,-122.408051765969
140812804,LARCENY THEFT,PETTY THEFT FROM UNLOCKED AUTO,26-09-2014,NORTHERN,NONE,1600.0 Block of BEACH ST,37.8045729431737,-122.435916648111
140810808,FORGERY COUNTERFEITING,"MONEY, CHANGING FACE AMOUNT",25-09-2014,MISSION,"ARREST, BOOKED",1700.0 Block of HARRISON ST,37.7692198887819,-122.413349606369
140813294,ASSAULT,THREATS AGAINST LIFE,26-09-2014,MISSION,NONE,2700.0 Block of 22ND ST,37.7559141714514,-122.40899374335
146152696,LARCENY THEFT,GRAND THEFT FROM UNLOCKED AUTO,02-08-2014,RICHMOND,NONE,5000.0 Block of FULTON ST,37.7726138402622,-122.485570193212
140816298,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",26-09-2014,BAYVIEW,NONE,1400.0 Block of PALOU AV,37.7319026101813,-122.387171261098
140681988,FRAUD,FRAUDULENT CREDIT APPLICATION,12-08-2014,BAYVIEW,NONE,1800.0 Block of ILLINOIS ST,37.7487011186166,-122.386436088025
140788697,ASSAULT,INFLICT INJURY ON COHABITEE,18-09-2014,CENTRAL,"ARREST, BOOKED",300.0 Block of POWELL ST,37.7876829825053,-122.40833353294
140662405,NON CRIMINAL,LOST PROPERTY,09-08-2014,SOUTHERN,COMPLAINANT REFUSES TO PROSECUTE,100.0 Block of 6TH ST,37.7808558853331,-122.408626028337
146176367,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,29-08-2014,SOUTHERN,NONE,800.0 Block of BRYANT ST,37.7752316978411,-122.403742962696
140672733,DRUG NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,12-08-2014,MISSION,"ARREST, BOOKED",2000.0 Block of MISSION ST,37.764028015224,-122.41961565927
140705538,DRUG NARCOTIC,SALE OF BASE/ROCK COCAINE,22-08-2014,TENDERLOIN,"ARREST, BOOKED",700.0 Block of OFARRELL ST,37.7852071544535,-122.417319974983
146187198,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,09-09-2014,SOUTHERN,NONE,1100.0 Block of MISSION ST,37.7777988131688,-122.412667529252
140802190,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",22-09-2014,RICHMOND,NONE,300.0 Block of 3RD AV,37.7820232041156,-122.461267695017
140655422,OTHER OFFENSES,PROBATION VIOLATION,06-08-2014,TENDERLOIN,"ARREST, BOOKED",100.0 Block of OFARRELL ST,37.7865024401487,-122.407567826112
140782047,NON CRIMINAL,"AIDED CASE, MENTAL DISTURBED",16-09-2014,SOUTHERN,NONE,500.0 Block of 5TH ST,37.7774605549962,-122.399818081175
146189310,LARCENY THEFT,PETTY THEFT OF PROPERTY,11-09-2014,SOUTHERN,NONE,800.0 Block of MARKET ST,37.7847532835996,-122.407036790381
140816903,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,27-09-2014,MISSION,"ARREST, BOOKED",1600.0 Block of BRYANT ST,37.76619285228,-122.410502332854
140754717,LARCENY THEFT,PETTY THEFT FROM A BUILDING,07-09-2014,PARK,NONE,1800.0 Block of HAIGHT ST,37.7692386881564,-122.453184854527
146197410,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,21-09-2014,SOUTHERN,NONE,1600.0 Block of HOWARD ST,37.7712979612992,-122.417282887357
140746811,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",05-09-2014,BAYVIEW,"ARREST, CITED",MCKINNON AV / NEWHALL ST,37.7369085657583,-122.391090325597
140811931,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,09-09-2014,PARK,NONE,SCOTT ST / EDDY ST,37.7808016285351,-122.437262577518
140746601,NON CRIMINAL,FOUND PROPERTY,04-09-2014,NORTHERN,NONE,POLK ST / BUSH ST,37.7886989511944,-122.420307355721
140791838,MISSING PERSON,FOUND PERSON,19-09-2014,MISSION,LOCATED,100.0 Block of CAPP ST,37.7647617235602,-122.418709949074
140703764,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",21-08-2014,INGLESIDE,NONE,ALEMANY BL / ONONDAGA AV,37.7216263690719,-122.438642401146
140704784,LARCENY THEFT,PETTY THEFT WITH PRIOR,22-08-2014,NORTHERN,"ARREST, BOOKED",1300.0 Block of WEBSTER ST,37.7828933039479,-122.430908286149
140706376,BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",22-08-2014,NORTHERN,NONE,1800.0 Block of FILBERT ST,37.7986593220463,-122.430392232851
146196020,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,22-09-2014,TARAVAL,NONE,24TH AV / VICENTE ST,37.7390882539256,-122.480786287126
140797751,MISSING PERSON,MISSING JUVENILE,21-09-2014,TARAVAL,LOCATED,200.0 Block of MONTICELLO ST,37.7188518139141,-122.470700603317
140710446,LARCENY THEFT,GRAND THEFT FROM PERSON,24-08-2014,NORTHERN,NONE,600.0 Block of VANNESS AV,37.7810426839247,-122.420401190379
140707299,KIDNAPPING,FALSE IMPRISONMENT,22-08-2014,NORTHERN,"ARREST, BOOKED",2400.0 Block of SACRAMENTO ST,37.7899048019197,-122.433218217013
140791543,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,19-09-2014,TENDERLOIN,NONE,100.0 Block of TAYLOR ST,37.7833988600605,-122.410763183048
140642009,OTHER OFFENSES,RESISTING ARREST,02-08-2014,BAYVIEW,"ARREST, BOOKED",1600.0 Block of PALOU AV,37.7340846684646,-122.391167066724
140752244,SUICIDE,ATTEMPTED SUICIDE,06-09-2014,INGLESIDE,PSYCHOPATHIC CASE,100.0 Block of HAHN ST,37.7128709988026,-122.415426747677
140742411,NON CRIMINAL,LOST PROPERTY,28-08-2014,TARAVAL,NONE,TARAVAL ST / 31ST AV,37.7429561176677,-122.477834892704
140658692,MISSING PERSON,FOUND PERSON,07-08-2014,BAYVIEW,LOCATED,100.0 Block of ALBATROSS CT,37.7282293839049,-122.372063216943
140819797,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,29-09-2014,MISSION,"ARREST, BOOKED",MISSION ST / 18TH ST,37.7618358012673,-122.419360352761
146195301,NON CRIMINAL,LOST PROPERTY,16-09-2014,SOUTHERN,NONE,500.0 Block of MARKET ST,37.7887518153381,-122.402089552186
146191901,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,18-09-2014,TARAVAL,NONE,200.0 Block of ORIZABA AV,37.7131340219829,-122.462705959508
140802764,WARRANTS,WARRANT ARREST,23-09-2014,CENTRAL,"ARREST, BOOKED",400.0 Block of JEFFERSON ST,37.8075554545838,-122.42013418963
140784708,NON CRIMINAL,"AIDED CASE, MENTAL DISTURBED",17-09-2014,TENDERLOIN,PSYCHOPATHIC CASE,TURK ST / TAYLOR ST,37.7832145190309,-122.410768766343
140779969,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,16-09-2014,NORTHERN,"ARREST, BOOKED",1300.0 Block of BUSH ST,37.7888771368678,-122.419179221907
140669075,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",11-08-2014,PARK,"ARREST, BOOKED",HAIGHT ST / MASONIC AV,37.7702081959469,-122.4453467866
146156397,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,07-08-2014,MISSION,NONE,3900.0 Block of 18TH ST,37.7611466665071,-122.431269925256
